mA,ma,mchi,tanbeta,sintheta,xsec
600,10,0.1,35.0,0.7,1.06455300000000000
600,50,0.1,35.0,0.7,0.72230490000000000
600,100,0.1,35.0,0.7,0.49123710000000000
600,150,0.1,35.0,0.7,0.32246000000000000
600,200,0.1,35.0,0.7,0.21573810000000000
600,250,0.1,35.0,0.7,0.14691820000000000
600,300,0.1,35.0,0.7,0.10076250000000000
600,350,0.1,35.0,0.7,0.07514310000000000
600,400,0.1,35.0,0.7,0.05479556000000000
600,450,0.1,35.0,0.7,0.04309960000000000
600,500,0.1,35.0,0.7,0.03335939000000000
600,10,1,35.0,0.7,1.05670700000000000
600,50,1,35.0,0.7,0.72552580000000000
600,100,1,35.0,0.7,0.49172850000000000
600,150,1,35.0,0.7,0.32067080000000000
600,200,1,35.0,0.7,0.22046630000000000
600,250,1,35.0,0.7,0.14639770000000000
600,300,1,35.0,0.7,0.10247470000000000
600,350,1,35.0,0.7,0.07379413000000000
600,400,1,35.0,0.7,0.05571401000000000
600,450,1,35.0,0.7,0.04167850000000000
600,500,1,35.0,0.7,0.03292067000000000
600,10,10,35.0,0.7,0.04961908000000000
600,50,10,35.0,0.7,0.70278310000000000
600,100,10,35.0,0.7,0.48650550000000000
600,150,10,35.0,0.7,0.32040600000000000
600,200,10,35.0,0.7,0.21888880000000000
600,250,10,35.0,0.7,0.14890600000000000
600,300,10,35.0,0.7,0.10068080000000000
600,350,10,35.0,0.7,0.07498113000000000
600,400,10,35.0,0.7,0.05550241000000000
600,450,10,35.0,0.7,0.04268227000000000
600,500,10,35.0,0.7,0.03366157000000000
600,10,50,35.0,0.7,0.01222396000000000
600,50,50,35.0,0.7,0.01167311000000000
600,100,50,35.0,0.7,0.10165770000000000
600,150,50,35.0,0.7,0.27032280000000000
600,200,50,35.0,0.7,0.20043580000000000
600,250,50,35.0,0.7,0.14209300000000000
600,300,50,35.0,0.7,0.09858484000000000
600,350,50,35.0,0.7,0.07166916000000000
600,400,50,35.0,0.7,0.05347959000000000
600,450,50,35.0,0.7,0.04193883000000000
600,500,50,35.0,0.7,0.03232082000000000
600,10,100,35.0,0.7,0.00574729600000000
600,50,100,35.0,0.7,0.00383371800000000
600,100,100,35.0,0.7,0.00518028900000000
600,150,100,35.0,0.7,0.00914728800000000
600,200,100,35.0,0.7,0.04759166000000000
600,250,100,35.0,0.7,0.10781370000000000
600,300,100,35.0,0.7,0.08593818000000000
600,350,100,35.0,0.7,0.06662782000000000
600,400,100,35.0,0.7,0.05069917000000000
600,450,100,35.0,0.7,0.04040614000000000
600,500,100,35.0,0.7,0.03201301000000000
600,10,250,35.0,0.7,0.00135799600000000
600,50,250,35.0,0.7,0.00045423040000000
600,100,250,35.0,0.7,0.00075633200000000
600,150,250,35.0,0.7,0.00192556800000000
600,200,250,35.0,0.7,0.00461554900000000
600,250,250,35.0,0.7,0.00518385700000000
600,300,250,35.0,0.7,0.00544470700000000
600,350,250,35.0,0.7,0.00618339600000000
600,400,250,35.0,0.7,0.00709430900000000
600,450,250,35.0,0.7,0.00795871700000000
600,500,250,35.0,0.7,0.01197099000000000
600,10,500,35.0,0.7,0.00000057210130000
600,50,500,35.0,0.7,0.00000053733600000
600,100,500,35.0,0.7,0.00000049853040000
600,150,500,35.0,0.7,0.00000044927730000
600,200,500,35.0,0.7,0.00000041115850000
600,250,500,35.0,0.7,0.00000037085890000
600,300,500,35.0,0.7,0.00000031915010000
600,350,500,35.0,0.7,0.00000026007140000
600,400,500,35.0,0.7,0.00000019888770000
600,450,500,35.0,0.7,0.00000013032890000
600,500,500,35.0,0.7,0.00000007077844000
600,10,1000,35.0,0.7,0.00000000030671430
600,50,1000,35.0,0.7,0.00000000028979980
600,100,1000,35.0,0.7,0.00000000025789570
600,150,1000,35.0,0.7,0.00000000023154240
600,200,1000,35.0,0.7,0.00000000020281130
600,250,1000,35.0,0.7,0.00000000018302830
600,300,1000,35.0,0.7,0.00000000014826820
600,350,1000,35.0,0.7,0.00000000011803370
600,400,1000,35.0,0.7,0.00000000008270214
600,450,1000,35.0,0.7,0.00000000005372916
600,500,1000,35.0,0.7,0.00000000002639153